Quarter,Clock,Player,Team,Action,TeamLineup,OpponentLineup,Points,OPPpoints,FGA,OPPFGA,FTA,OPPFTA,oREB,OPPoREB,dREB,OPPdREB,TOV,OPPTOV
1,10:00:00,nan,nan,START of Game,,,0,0,0,0,0,0,0,0,0,0,0,0
1,10:00:00,Dwight POWELL,CAN,Jump ball won,,,0,0,0,0,0,0,0,0,0,0,0,0
1,10:00:00,Omari Rasulala SPELLMAN,LBN,Jump ball lost,,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:47:00,Shai GILGEOUS-ALEXANDER,CAN,"Turnover, Bad pass (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:47:00,Omari Rasulala SPELLMAN,LBN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:32:00,Wael ARAKJI,LBN,"2PtsFG inside paint, Driving Layup made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:14:00,RJ BARRETT,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:14:00,Sergio EL DARWICH,LBN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:59:00,Ali HAIDAR,LBN,"2PtsFG outside paint, Hook Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:59:00,Kelly OLYNYK,CAN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:51:00,RJ BARRETT,CAN,"Turnover, Ball handling (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:51:00,Ali HAIDAR,LBN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:46:00,RJ BARRETT,CAN,"Personal foul (P1,T1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:46:00,Ali HAIDAR,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:39:00,Ali HAIDAR,LBN,"2PtsFG inside paint, Hook Shot made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:39:00,Sergio EL DARWICH,LBN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Dwight POWELL,CAN,"2PtsFG inside paint, Layup made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Shai GILGEOUS-ALEXANDER,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Ali MEZHER,LBN,"Personal foul, 1 free throw awarded (P1,T1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Dwight POWELL,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Dwight POWELL,CAN,Free Throw made 1 of 1 (3 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:04:00,Omari Rasulala SPELLMAN,LBN,"2PtsFG outside paint, Jump Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:04:00,RJ BARRETT,CAN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:54:00,Shai GILGEOUS-ALEXANDER,CAN,"2PtsFG outside paint, Jump Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:54:00,Omari Rasulala SPELLMAN,LBN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:43:00,Sergio EL DARWICH,LBN,"Turnover, Bad pass (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:43:00,Dwight POWELL,CAN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:40:00,Dillon BROOKS,CAN,"Turnover, Ball handling (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:40:00,Wael ARAKJI,LBN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:40:00,Kelly OLYNYK,CAN,"Personal foul (P1,T2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:40:00,Wael ARAKJI,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:25:00,Sergio EL DARWICH,LBN,"2PtsFG outside paint, Jump Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:25:00,Kelly OLYNYK,CAN,Defensive rebound (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:16:00,Dwight POWELL,CAN,"2PtsFG inside paint, Alley-oop made (5 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:16:00,Kelly OLYNYK,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:57:00,Wael ARAKJI,LBN,"2PtsFG inside paint, Driving Layup made (4 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:36:00,RJ BARRETT,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:36:00,Ali MEZHER,LBN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:32:00,Ali MEZHER,LBN,"Turnover, Bad pass (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:14:00,RJ BARRETT,CAN,3PtsFG made (3 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:14:00,Dillon BROOKS,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:53:00,Omari Rasulala SPELLMAN,LBN,"2PtsFG outside paint, Fadeaway Jump Shot made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:37:00,Kelly OLYNYK,CAN,"2PtsFG inside paint, Jump Shot made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:37:00,RJ BARRETT,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:20:00,Wael ARAKJI,LBN,"2PtsFG outside paint, Fadeaway Jump Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:20:00,Kelly OLYNYK,CAN,Defensive rebound (3),,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:14:00,RJ BARRETT,CAN,"2PtsFG fast break, Dunk made (5 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,05:14:00,Kelly OLYNYK,CAN,Assist (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:58:00,Ali HAIDAR,LBN,"Turnover, Ball handling (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:50:00,Shai GILGEOUS-ALEXANDER,CAN,"2PtsFG inside paint, Dunk made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:33:00,Sergio EL DARWICH,LBN,"Turnover, Bad pass (2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:33:00,RJ BARRETT,CAN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:26:00,Shai GILGEOUS-ALEXANDER,CAN,"2PtsFG inside paint, Driving Layup made (4 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:26:00,nan,nan,Timeout,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:26:00,Karim ZEINOUN,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:15:00,Wael ARAKJI,LBN,"Turnover, Travelling (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:02:00,Dillon BROOKS,CAN,"2PtsFG inside paint, Hook Shot made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,04:02:00,Kelly OLYNYK,CAN,Assist (3),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:43:00,Omari Rasulala SPELLMAN,LBN,3PtsFG made (5 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:19:00,Shai GILGEOUS-ALEXANDER,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:19:00,Dwight POWELL,CAN,Offensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:13:00,Dwight POWELL,CAN,"2PtsFG inside paint, Turnaround Jump Shot made (7 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:56:00,Omari Rasulala SPELLMAN,LBN,"2PtsFG outside paint, Pullup Jump Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:56:00,Shai GILGEOUS-ALEXANDER,CAN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:48:00,Dillon BROOKS,CAN,3PtsFG made (5 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:48:00,Shai GILGEOUS-ALEXANDER,CAN,Assist (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:33:00,Sergio EL DARWICH,LBN,"2PtsFG inside paint, Driving Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:33:00,Ali HAIDAR,LBN,Offensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:27:00,Ali HAIDAR,LBN,"2PtsFG inside paint, Putback Tip-in missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:27:00,Dwight POWELL,CAN,Defensive rebound (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:27:00,Karim ZEINOUN,LBN,"Personal foul (P1,T2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:27:00,Shai GILGEOUS-ALEXANDER,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:27:00,Ali MANSOUR,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:27:00,Nickeil ALEXANDER-WALKER,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:27:00,Kyle ALEXANDER,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:09:00,Kelly OLYNYK,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:09:00,Omari Rasulala SPELLMAN,LBN,Defensive rebound (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:57:00,Wael ARAKJI,LBN,"Turnover, Travelling (2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:57:00,Phil SCRUBB,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:57:00,Trae BELL-HAYNES,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:45:00,Kyle ALEXANDER,CAN,"Offensive foul (P1,T3), Turnover (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:45:00,Kyle ALEXANDER,CAN,Turnover (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:45:00,Karim ZEINOUN,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:45:00,Amir SAOUD,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:45:00,Melvin EJIM,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:33:00,Omari Rasulala SPELLMAN,LBN,"Offensive foul (P1,T3), Turnover (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:33:00,Omari Rasulala SPELLMAN,LBN,Turnover (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:33:00,Kyle ALEXANDER,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:33:00,Hayk GYOKCHYAN,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:24:00,Karim ZEINOUN,LBN,"Personal foul (P2,T4)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:24:00,Trae BELL-HAYNES,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:15:00,Trae BELL-HAYNES,CAN,3PtsFG made (3 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:15:00,Nickeil ALEXANDER-WALKER,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:55:00,Amir SAOUD,LBN,"Turnover, Bad pass (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:31:00,Trae BELL-HAYNES,CAN,3PtsFG made (6 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:31:00,Phil SCRUBB,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:12:00,Kyle ALEXANDER,CAN,"Personal foul, 2 free throws awarded (P2,T4)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:12:00,Amir SAOUD,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:12:00,Amir SAOUD,LBN,Free Throw made 1 of 2 (1 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:12:00,Karim ZEINOUN,LBN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:12:00,Amir SAOUD,LBN,Free Throw made 2 of 2 (2 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:12:00,Sergio EL DARWICH,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:04:00,Nickeil ALEXANDER-WALKER,CAN,"2PtsFG inside paint, Driving Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:04:00,Ali MANSOUR,LBN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:01:00,Ali MANSOUR,LBN,"Turnover, Bad pass (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:01:00,Trae BELL-HAYNES,CAN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:00:00,Trae BELL-HAYNES,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:00:00,nan,nan,END of Period,,,0,0,0,0,0,0,0,0,0,0,0,0
1,10:00:00,nan,nan,START of Period,,,0,0,0,0,0,0,0,0,0,0,0,0
1,10:00:00,nan,nan,Alternating Possession Gained,,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:43:00,Sergio EL DARWICH,LBN,"2PtsFG inside paint, Layup made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:43:00,Ali HAIDAR,LBN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:26:00,Trae BELL-HAYNES,CAN,3PtsFG made (9 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:26:00,Nickeil ALEXANDER-WALKER,CAN,Assist (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:16:00,Ali MANSOUR,LBN,"Turnover, Ball handling (2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:16:00,Wael ARAKJI,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:53:00,Melvin EJIM,CAN,3PtsFG made (3 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:53:00,Phil SCRUBB,CAN,Assist (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:31:00,Ali HAIDAR,LBN,"Turnover, Ball handling (2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:31:00,Melvin EJIM,CAN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Amir SAOUD,LBN,"Personal foul (P1,T1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Trae BELL-HAYNES,CAN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:19:00,Melvin EJIM,CAN,"2PtsFG inside paint, Driving Layup made (5 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:19:00,Nickeil ALEXANDER-WALKER,CAN,Assist (3),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:58:00,Amir SAOUD,LBN,"Turnover, Bad pass (2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:58:00,Kyle ALEXANDER,CAN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:51:00,Trae BELL-HAYNES,CAN,3PtsFG fast break made (12 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:51:00,Phil SCRUBB,CAN,Assist (3),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:37:00,Ali HAIDAR,LBN,"2PtsFG inside paint, Hook Shot made (4 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:37:00,Hayk GYOKCHYAN,LBN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:21:00,Nickeil ALEXANDER-WALKER,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:21:00,Wael ARAKJI,LBN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,07:11:00,Wael ARAKJI,LBN,"2PtsFG inside paint, Driving Layup made (6 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:58:00,Melvin EJIM,CAN,3PtsFG made (8 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:58:00,Nickeil ALEXANDER-WALKER,CAN,Assist (4),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:40:00,Trae BELL-HAYNES,CAN,"Personal foul (P1,T1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:40:00,Hayk GYOKCHYAN,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:40:00,Karim Raphael EZZEDINE,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:34:00,Ali HAIDAR,LBN,"Turnover, Bad pass (3)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:34:00,Melvin EJIM,CAN,Steal (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:26:00,Phil SCRUBB,CAN,3PtsFG fast break made (3 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:26:00,Trae BELL-HAYNES,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:13:00,Wael ARAKJI,LBN,"2PtsFG inside paint, Driving Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:13:00,Karim Raphael EZZEDINE,LBN,Offensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:07:00,Karim Raphael EZZEDINE,LBN,"2PtsFG inside paint, Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:07:00,Melvin EJIM,CAN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,06:06:00,Sergio EL DARWICH,LBN,"Personal foul (P1,T2)",,,0,0,0,0,0,0,0,0,0,0,0,0
